feature_file,feature_tokens,scale,metric,pct,base_backend,variant_backend,base,variant,improve_pct
bffwd,bffwd,0.4,tpot_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,1.5821802904407718,1.6835051704281536,-6.404129832710419
bffwd,bffwd,0.4,e2e_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,172.4459940160159,173.7343470013002,-0.7471051981437363
bffwd,bffwd,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,186.8058191088494,190.8031051949365,-2.139808120087494
bffwd,bffwd,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,207.18130430526793,221.487731145462,-6.905269222127538
chunkbkt,chunkbkt,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,8.06313099747058,8.109079499263316,-0.5698592991624529
chunkbkt,chunkbkt,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,11.507742403773591,11.63744720397517,-1.1271089988862406
chunkbkt,chunkbkt,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,14.800841882242814,17.400287103082512,-17.56282001740969
chunkbkt,chunkbkt,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,1.2711859890259802,1.127826006268151,11.277655983895459
chunkbkt,chunkbkt,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,1.5225702081806958,1.3823708839481699,9.208069583868234
chunkbkt,chunkbkt,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,2.553374816779981,2.355862107360734,7.735359028422104
chunkbkt,chunkbkt,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,1.3324910677072181,1.1820088063672052,11.293303571553675
chunkbkt,chunkbkt,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,1.43682103293065,1.3488394290692194,6.123351610602241
chunkbkt,chunkbkt,0.4,tpot_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,1.5821802904407718,1.5236334682865742,3.7003887931057045
chunkbkt,chunkbkt,0.4,e2e_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,172.4459940160159,154.02371551317628,10.682926331781676
chunkbkt,chunkbkt,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,186.8058191088494,169.88216110039502,9.059491877280957
chunkbkt,chunkbkt,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+chunkbkt+batch16+wupcg16+pmeta+fastplan,207.18130430526793,203.96659478778017,1.5516407372120318
dcap8,dcap8,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,8.06313099747058,7.960150993312709,1.2771714138115335
dcap8,dcap8,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,11.507742403773591,11.65937399782706,-1.3176484903220196
dcap8,dcap8,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,14.800841882242814,17.335941021738098,-17.128073927583454
dcap8,dcap8,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,1.2711859890259802,1.2746969878207892,-0.2761986699915733
dcap8,dcap8,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,1.5225702081806958,1.5106859907973567,0.7805365768675749
dcap8,dcap8,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,2.553374816779981,2.507612054178023,1.7922461794962228
dcap8,dcap8,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,1.3324910677072181,1.332881421242166,-0.02929502076284418
dcap8,dcap8,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,1.43682103293065,1.4412872077334362,-0.3108372372359105
dcap8,dcap8,0.4,tpot_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,1.5821802904407718,1.6170626563202464,-2.204702339564404
dcap8,dcap8,0.4,e2e_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,172.4459940160159,172.26965399459004,0.10225811416035595
dcap8,dcap8,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,186.8058191088494,187.30589270126075,-0.2676970100808089
dcap8,dcap8,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+dcap8+wupcg16+pmeta+fastplan,207.18130430526793,213.45541803661035,-3.028320413553307
evtq,evtq,0.4,ttft_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,7.949915976496413,12.890702491858974,-62.14891490639379
evtq,evtq,0.4,ttft_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,9.83629620168358,51.573942409595475,-424.3227872780821
evtq,evtq,0.4,ttft_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,11.635485169827003,62.39194032910743,-436.22121826858955
evtq,evtq,0.4,itl_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,1.274758018553257,0.2502950082998723,80.36529249810596
evtq,evtq,0.4,itl_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,1.5174136264249682,1.1593258648645133,23.598559768051576
evtq,evtq,0.4,itl_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,2.4203383596614008,41.82729661872141,-1628.1590589083153
evtq,evtq,0.4,tpot_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,1.330447748054083,1.2486983401828446,6.1445034568854995
evtq,evtq,0.4,tpot_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,1.442046002232458,1.6436823736260209,-13.982658741912946
evtq,evtq,0.4,tpot_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,1.5756085286041588,2.365233602288657,-50.11556229541559
evtq,evtq,0.4,e2e_ms,p50,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,172.16598900267854,179.25716401077807,-4.118801308654058
evtq,evtq,0.4,e2e_ms,p90,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,186.18823157739826,228.0753742379602,-22.497202054980313
evtq,evtq,0.4,e2e_ms,p99,roseinfer+chunk1024+peager+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+peager+evtq+batch16+pprio1+wupcg16+pmeta+fastplan,204.8703487619059,303.0332694988464,-47.91465496601583
fanopast,fanopast,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,8.06313099747058,8.129306996124797,-0.8207233477290158
fanopast,fanopast,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,11.507742403773591,12.247272912645712,-6.4263735051074535
fanopast,fanopast,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,14.800841882242814,18.71210358862299,-26.42594075052366
fanopast,fanopast,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,1.2711859890259802,1.2767494918080047,-0.43766237435383953
fanopast,fanopast,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,1.5225702081806958,1.5152391104493292,0.4814948888384194
fanopast,fanopast,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,2.553374816779981,2.564245084940915,-0.425721601446762
fanopast,fanopast,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan+fanopast,1.3324910677072181,1.3349634015659515,-0.1855422462971879
