feature_file,feature_tokens,variant_backend,baseline_kind,baseline_backend,baseline_total_tps,variant_total_tps,improve_pct,baseline_prefill_s,variant_prefill_s,baseline_decode_s,variant_decode_s,baseline_total_s,variant_total_s
pcap8,pcap8,roseinfer+pcap8,vs_inproc,roseinfer+inproc,65314.130406732846,47143.17075496736,-27.82087052006797,,,,,0.6271231010032352,0.8688427049783058
pcap8,pcap8,roseinfer+pcap8,vs_base,roseinfer,64362.43846727137,47143.17075496736,-26.75359747449609,,,,,0.6363960250018863,0.8688427049783058
peager,peager,roseinfer+peager,vs_inproc,roseinfer+inproc,65314.130406732846,64328.5380066815,-1.5090033257944884,,,,,0.6271231010032352,0.6367313989903778
peager,peager,roseinfer+peager,vs_base,roseinfer,64362.43846727137,64328.5380066815,-0.05267118741486481,,,,,0.6363960250018863,0.6367313989903778
pfront,pfront,roseinfer+pfront,vs_inproc,roseinfer+inproc,65314.130406732846,64415.36901747764,-1.3760596423137184,,,,,0.6271231010032352,0.635873094026465
pfront,pfront,roseinfer+pfront,vs_base,roseinfer,64362.43846727137,64415.36901747764,0.08223826111433949,,,,,0.6363960250018863,0.635873094026465
pprio1,pprio1,roseinfer+pprio1,vs_inproc,roseinfer+inproc,65314.130406732846,65183.32639497364,-0.20026908563987997,,,,,0.6271231010032352,0.6283815549977589
pprio1,pprio1,roseinfer+pprio1,vs_base,roseinfer,64362.43846727137,65183.32639497364,1.275414585355863,,,,,0.6363960250018863,0.6283815549977589
pscan4,pscan4,roseinfer+inproc+wupcg16+pmeta+fastplan+chunk1024+pprio1+peager+pscan4,vs_base,roseinfer+inproc+wupcg16+pmeta+fastplan+chunk1024+pprio1+peager,66993.31578077453,66842.45928907406,-0.2251814079394497,,,,,0.6114042800036259,0.6127841559937224
pslots,pslots,roseinfer+pslots+wupcg16,vs_inproc,roseinfer+inproc,65314.130406732846,64496.47725291067,-1.251877884204194,,,,,0.6271231010032352,0.6350734450097661
pslots,pslots,roseinfer+pslots+wupcg16,vs_base,roseinfer+wupcg16,64789.60601160074,64496.47725291067,-0.4524317660422061,,,,,0.6322001710068434,0.6350734450097661
pstream,pstream,roseinfer+pstream,vs_inproc,roseinfer+inproc,65314.130406732846,65511.07204039952,0.30152990239670224,,,,,0.6271231010032352,0.6252378220087849
pstream,pstream,roseinfer+pstream,vs_base,roseinfer,64362.43846727137,65511.07204039952,1.7846333987364953,,,,,0.6363960250018863,0.6252378220087849
qdec,qdec,roseinfer+inproc+pprio1+peager+qdec,vs_inproc,roseinfer+inproc,65314.130406732846,65287.93883879214,-0.04010092115993788,,,,,0.6271231010032352,0.6273746840306558
qdec,qdec,roseinfer+inproc+pprio1+peager+qdec,vs_base,roseinfer+peager,64328.5380066815,65287.93883879214,1.491407797906112,,,,,0.6367313989903778,0.6273746840306558
rnopast,rnopast,roseinfer+pmeta+rnopast,vs_inproc,roseinfer+inproc,65314.130406732846,66308.00060254741,1.5216771464695429,,,,,0.6271231010032352,0.6177233460184652
rnopast,rnopast,roseinfer+pmeta+rnopast,vs_base,roseinfer,64362.43846727137,66308.00060254741,3.0228222882906635,,,,,0.6363960250018863,0.6177233460184652
scfp,scfp,roseinfer+inproc+scfp,vs_inproc,roseinfer+inproc,65314.130406732846,59230.56799731921,-9.314312801118636,,,,,0.6271231010032352,0.6915348169859499
scfp,scfp,roseinfer+inproc+scfp,vs_base,roseinfer+scfp,58717.556588099585,59230.56799731921,0.8736933875133298,,,,,0.6975767109543085,0.6915348169859499
tokbuf,tokbuf,roseinfer+tokbuf,vs_inproc,roseinfer+inproc,65314.130406732846,65748.01018952462,0.664296960075652,,,,,0.6271231010032352,0.6229846330243163
tokbuf,tokbuf,roseinfer+tokbuf,vs_base,roseinfer,64362.43846727137,65748.01018952462,2.1527644931567003,,,,,0.6363960250018863,0.6229846330243163
tokbuf2,tokbuf,roseinfer+tokbuf+idleka,vs_inproc,roseinfer+inproc,65314.130406732846,64101.5480724285,-1.8565390471452208,,,,,0.6271231010032352,0.6389861279749312
tokbuf2,tokbuf,roseinfer+tokbuf+idleka,vs_base,roseinfer+idleka,64489.86268315587,64101.5480724285,-0.6021327919942919,,,,,0.6351385829620995,0.6389861279749312
wupcg16,wupcg16,roseinfer+wupcg16,vs_inproc,roseinfer+inproc,65314.130406732846,64789.60601160074,-0.8030795049489513,,,,,0.6271231010032352,0.6322001710068434
wupcg16,wupcg16,roseinfer+wupcg16,vs_base,roseinfer,64362.43846727137,64789.60601160074,0.6636907402857156,,,,,0.6363960250018863,0.6322001710068434
